Unique ID,URL,Date scraped,Headline,Body,Org,Topics,Sentiment,Scandal_distance,Top_10
75,https://www.bbc.com/news/articles/c203x7jz211o,2025-01-23,"New health hub 'a godsend', say patients","A health hub that has had 20,000 visitors in its first year has been hailed a ""godsend"" by users. 
Unit 33 in Friars Square Shopping Centre, Aylesbury, is part of Buckinghamshire Healthcare NHS Trust's Health on the High Street initiative. 
It offers services and advice, including blood pressure monitoring, speech and language therapy, dementia advice, breastfeeding support and veterans' support.
Gemma Thomas, director of strategic delivery at the trust, said: ""In the first year 20,000 people accessed the unit... we are supporting people with babies and young children with their families, right through to elderly people.""
First-time parents Jade and Matt have been able to use the service for themselves and their daughter. 
""We don't have to battle to see a GP,"" said Jade, who works for a charity. 
""It made a big, big difference. As a first-time mum you have concerns... you know you can just come in on a Tuesday and you have that advice here on hand.""
Matt, a police officer, thinks the hub could have the potential to change men's health perceptions. 
""For us as new parents, it's a godsend,"" he said.
""They have a lot of support, including mental health, and for things more specific to men as well. 
""You can come here, not be judged and you can just get some advice rather than feeling you have to book an appointment, which is the first hurdle - you can just pop in."" 
So far 605 people have visited to have their blood pressure checked, with 161 alerted that theirs was high. 
Ms Thomas said the unit was set up to support people in taking control of their health and wellbeing. 
She said life expectancy in Aylesbury was much lower than in other parts of Buckinghamshire, by up to 12 years for women and eight years for men.
Ms Thomas said health issues seen in the town included higher rates of smoking, obesity and alcohol consumption.
""We are trying to support people who might not access our services in the normal way,"" she said.
Follow Beds, Herts and Bucks news on BBC Sounds, Facebook, Instagram and X.
","[""Buckinghamshire Healthcare NHS Trust's"", 'GP', 'Bucks news', 'BBC Sounds', 'Facebook', 'Instagram']",entertainment,0.9665,0.28400000000000003,False
76,https://www.bbc.com/news/articles/cd9qyd7wd1wo,2025-01-27,Pharmacists in warning over weight-loss jab sales,"Pharmacy leaders have issued a fresh warning over the online sale of weight-loss jabs insisting there is still a risk to patient safety.
The National Pharmacy Association (NPA) has called for tougher rules in a letter to regulators, adding it was aware of people who previously had eating disorders or whose body weight was already low, being wrongly prescribed the drugs.
They argue a two-way consultation with the patient lasting at least 20 minutes is needed rather than relying on online questionnaires to access drugs such as Wegovy or Mounjaro.
""It is also important to ensure that clinical decisions regarding weight loss injections are not influenced by financial targets or incentives,"" NPA chairman Nick Kaye said.
The NPA has written to the General Pharmaceutical Council (GPhC) saying current rules leave the door open for medicines to be supplied without appropriate checks ""and the risk to patient safety remains"".
The call comes amid warnings of a boom in demand for weight-loss jabs this year as ministers look to expand the rollout of the medication on the NHS.
Mr Kaye told the PA news agency: ""Obesity is one of the biggest challenges facing our country and pharmacies want to play their part in helping patients lose and maintain a healthy weight.
""Weight-loss injections can play an important role in efforts to tackle obesity when prescribed as part of a carefully managed treatment programme for patients who are most in need of support.
""However, we are concerned that the current regulations allow some patients to inappropriately access weight-loss injections without proper consultation or examination of historical medical records.""
Hundreds of thousands of people are estimated to get their prescriptions privately through online pharmacies.
Weight-loss jabs, known as GLP-1 receptor agonists, work by reducing food cravings.
The NPA has previously urged patients to avoid buying weight loss injections from unregulated online sellers, who may be selling fake drugs.
A person's medical history should also be examined before sellers decide whether or not to dispense a weight-loss injection, and regular reviews must take place, it added.
Ashley Cohen of the National Pharmacy Association said that while the weight loss jabs are meant for people with a BMI of 30 or more, increasing numbers of the ""worried well"" are seeking them out as a ""lifestyle"" medication.
Speaking on BBC Breakfast, Mr Cohen warned that the injections can have serious side-effects, including stomach upsets, nausea and gallstones.
A spokesperson from the GPhC said it requires all pharmacies, including those online, to ensure the way services are delivered safeguards the health, safety and wellbeing of patients and the public.
They added: ""We have published guidance specifically for the safe and effective provision of pharmacy services at a distance which we expect online pharmacies in Great Britain to follow.
""We will be issuing an updated version shortly, which will set out additional safeguards around high-risk medicines, including medicines used for weight management.""
","['The National Pharmacy Association (NPA', 'Wegovy or Mounjaro', 'the General Pharmaceutical Council', 'NHS', 'the National Pharmacy Association', 'BBC Breakfast']",politics,0.9578,0.33399999999999996,False
77,https://www.bbc.com/news/articles/cj913kjlpy8o,2025-01-23,'I volunteer with the charity that saved my life',"A volunteer with a medical emergency charity says he, too, would not be alive without it.
Harry Richardson, who is chair of the trustees of Suffolk Accident Rescue Services (SARS), credits the charity's responders with saving his life in a road traffic collision in 2013.
The service, established in 1972 and based in Woolpit near Bury St Edmunds, has now recorded its 20,000th emergency callout.
""As a direct result of that care I am in position where I am still living, breathing and otherwise enjoying life. If SARS didn't exist, then I wouldn't either,"" Mr Richardson said.
SARS is run by volunteers, with the team made up of anaesthetists, critical care paramedics and other clinicians with enhanced pre-hospital skills.
It attends about 30% of the incidents it is called out to across the whole of Suffolk.
Volunteers attended 520 callouts in 2023, and 630 callouts last year.
Recalling the collision on BBC Radio Suffolk, Mr Richardson said: ""I suffered from quite extensive injuries, numerous fractures, a ruptured spleen... and both of my lungs were punctured and partially collapsed.
""SARS responded within minutes. A SARS highly skilled responder was first on the scene, which is not abnormal.""
Mr Richardson joined the charity as a trustee nine years ago, which he said was his way of ""giving back"".
""I'm not a clinician in my professional life, but I immediately recognised the enormous value that the charity does,"" he added.
""I wanted to particularly provide my perspective as a patient because I think ultimately what we're all here for is to provide the best possible care that we can for people when they need it.""
Follow Suffolk news on BBC Sounds, Facebook, Instagram and X.
","['Suffolk Accident Rescue Services', 'BBC Radio Suffolk', 'BBC Sounds', 'Facebook', 'Instagram']",politics,0.9653,0.304,False
78,https://www.bbc.com/news/articles/cm2732d1j0jo,2025-01-25,Gloucestershire in pics: Royals and tree planting,"Our weekly round-up of pictures includes some gorgeous sunrises and great community spirit in Stroud. 
There was also a royal visit to Cheltenham and an incredible sunrise over Kingsholm.
Early bird: Mornings are getting brighter - slowly - but this chilly sunrise this week was beautiful to see. James sent in this superb picture taken at Woodchester Park.
Community efforts: Nailsworth residents braved the chill as they joined staff from Stroud Valleys Project, Gloucestershire Wildlife Trust and Nailsworth Town Council for a day of tree planting. New trees were planted in the King George V Playing Fields and Miles Marling Field, with volunteers young and old on hand to dig, plant and secure the young trees.
Peaceful settings: Something about this photo taken by weather watcher Tom Poet at Edge in Painswick makes us want to wrap a pair of fingerless gloves around a warm cup of tea and enjoy the sunrise. 
Special visit: The Princess Royal met many guests during her visit to Wings for Warriors, a charity that trains wounded, injured or unwell servicemen and veterans as professional pilots at the Gloucestershire Airport Training Facility in Cheltenham.
Striking skies: Contributor Pixie caught this impressive sunrise over Kingsholm just as the colours in the sky started to mix together.
Cloudy reflections: This photo sums up the weather in Gloucestershire this week. A bit of sun and a bit of cloud. The water is so still it could be a mirror.
Follow BBC Gloucestershire on Facebook, X and Instagram. Send your story ideas to us on email or via WhatsApp on 0800 313 4630.
","['Stroud Valleys Project', 'Gloucestershire Wildlife Trust', 'Nailsworth Town Council', 'Edge', 'BBC Gloucestershire', 'Facebook', 'Instagram', 'WhatsApp']",sport,0.9959,0.34,False
79,https://www.bbc.com/news/articles/cwypglzepjjo,2025-01-24,'This was our largest ever flytipping clean-up',"A waste firm has said the clear-up operation for a huge pile of illegally dumped rubbish in Staffordshire was the largest it had ever had to deal with.
Wilshees Waste and Recycling, based in Burton-upon-Trent, was brought in to help shift the 15m-long pile of flytipped rubbish which had blocked Watery Lane in Lichfield.
Officers at Lichfield District council said they were investigating the incident, and that evidence uncovered so far was ""pointing in one direction"".
They continued to appeal to members of the public to come forward with CCTV or doorbell video footage.
""Willshee's has been working with the local council for 30 years and we are proud to support the community,"" said the firm's managing director Dean Wilshee.
""Fly-tipping is not only an eyesore, it is a health hazard that causes considerable disruption to businesses and local residents.
""We're pleased to have been able to quickly remove the waste and ensure that the community was up and running again very quickly.""
He said his firm was on-site from just after 07:00 GMT on Tuesday and had removed the waste within hours.
Mr Wilshee added that the firm had a ""zero waste to landfill"" policy, and that they had ensured all the flytipped rubbish was taken to its recycling facility to be separated into recyclable materials - including metals, wood, cardboard and plastics.
Phil Whitehouse, the council's cabinet member responsible of waste, said those responsible for dumping the waste needed to be held to account and said it appeared to have been a calculated operation.
Follow BBC Stoke & Staffordshire on BBC Sounds, Facebook, X and Instagram.
","['Wilshees Waste and Recycling', 'CCTV', 'BBC Stoke & Staffordshire', 'BBC Sounds', 'Facebook', 'Instagram']",politics,-0.8074,0.322,False
80,https://www.bbc.com/news/articles/c8xq5eyjejdo,2025-01-25,Longer trains set for popular commuter route,"A rail operator is introducing new trains on a popular commuter route in a bid to reduce overcrowding on services. 
New trains with more than two carriages, are expected to be added to line between Shrewsbury and Birmingham in the spring, Transport for Wales (TfW) said. 
The increase was confirmed after the MP for Shrewsbury, Labour's Julia Buckley, told TfW bosses the service was unable to support the area's demand.
""It should be three carriages and we're only getting two. There's more people who need to get from Shrewsbury to Birmingham, or Wolverhampton every day and that is the service that is letting us down"", she said. 
""Top-end businesses are telling me they want to expand, invest and employ more people, but this is impossible until we get better services"". 
The trains will be introduced on the Cambrian line, which runs between the Midlands and the Welsh coast, as part of an £800m investment to transform rail services. 
A spokesperson for TfW said: ""Every effort is being made to get them into service to alleviate some of the crowding problems customers are seeing.""
Buckley also called for services to be made more reliable. 
""The amount of cancelled trains there are is not okay. The potential and demand is there, we just need the services"", she said. 
TfW said it had been ""a challenging time on the line"" and thanked customers for their patience.
This news was gathered by the Local Democracy Reporting Service, which covers councils and other public service organisations.
Follow BBC Shropshire on BBC Sounds, Facebook, X and Instagram. 
","['TfW', 'Labour', 'the Local Democracy Reporting Service', 'BBC Shropshire', 'BBC Sounds', 'Facebook', 'Instagram']",politics,0.6957,0.312,False
81,https://www.bbc.com/news/articles/cp8265g4vj5o,2025-01-25,Town flood defence scheme set for approval,"A scheme designed to protect homes and businesses in a Nottinghamshire from flooding is set to be given the go-ahead.
Nottinghamshire County Council wants to build a 250m (820ft) embankment, known as a bund, across parkland near Southwell Minster.
The authority said the measure would protect 36 properties from flooding and reduce the risk to more by holding back water from Potwell Dyke and allowing it to be released slowly.
Southwell suffers regular flooding, most notably in 2013 when 300 properties were submerged, the council added.
Planning application documents said the bund was proposed across Potwell Dyke, on parkland south of Church Street.
If approved, the bund - to be made of 5,200 tonnes of imported clay - will be about 2.5m (8.2ft) at it's highest level, the council said.
The documents say it would take about 16 weeks to construct.
A council report said the bund, along with previously completed flood alleviation projects, would reduce flood risk to 248 homes and 66 businesses in the town.
The scheme has been recommended for approval ahead of a planning committee meeting on Tuesday.
Follow BBC Nottingham on Facebook, on X, or on Instagram. Send your story ideas to eastmidsnews@bbc.co.uk or via WhatsApp on 0808 100 2210.
","['Nottinghamshire County Council', 'Potwell Dyke', 'BBC Nottingham', 'Facebook', 'Instagram', 'WhatsApp']",politics,0.7096,0.37,False
82,https://www.bbc.com/news/articles/cjexdxj19pgo,2025-01-27,Liberal Democrat councillor to run for mayor,"The Liberal Democrats have announced their candidate for the Cambridgeshire and Peterborough mayoral elections in May.
Lorna Dupre is a Cambridgeshire county councillor and the leader of the Liberal Democrat & Independent Group on East Cambridgeshire District Council.
She also sits as the deputy leader of the Liberal Democrats on Cambridgeshire County Council - the largest group on the council - and is chair of the council's Environment and Green Investment Committee.
When launching her campaign, Ms Dupre it was a ""key election"" and added she wanted Cambridgeshire and Peterborough ""to be greener, fairer, and better connected"".
""There is a desperate need for genuinely affordable homes in the right places, and a Liberal Democrat mayor using new powers handed down from government, can make that happen,"" she said.
""We also need a mayor who will work in partnership with the NHS, firefighters, and the police, for a healthier and safer Cambridgeshire and Peterborough.""
The combined authority was set up in 2017 and works with the seven local district, county and unitary councils, and with business groups and universities.
Its responsibilities, include overseeing transport and digital connectivity infrastructure, employment skills, economic growth and housing strategy and provision.
Nik Johnson, the current Labour Mayor of Cambridgeshire and Peterborough, confirmed he intends to stand for re-election during his hot-seat appearance on BBC Radio Cambridgeshire in November.
Paul Bristow, the former Conservative MP for Peterborough, who lost his House of Commons seat to Labour's Andrew Pakes by 118 votes at the general election in July, has been announced as the Tory mayoral candidate.

Follow Cambridgeshire news on BBC Sounds, Facebook, Instagram and X.
","['the Liberal Democrat & Independent Group', 'the Liberal Democrats on', 'Cambridgeshire County Council', ""the council's Environment and Green Investment Committee"", 'NHS', 'BBC Radio Cambridgeshire', 'Conservative MP', 'House of Commons', 'Labour', 'BBC Sounds', 'Facebook', 'Instagram']",politics,0.6124,0.302,False
83,https://www.bbc.com/news/articles/c4gwk5yej57o,2025-01-23,Women affected by cervical cancer screening issues 'need voices heard',"Northern Ireland needs to find a formal channel to give women affected by the cervical screening review at the Southern Health Trust a chance to have their voices heard.
The DUP's Diane Dodds said it was vital that the 17,500 women, including those who developed cancer and the families of those who died, know their experiences count.
She was speaking as health officials provided an update on the cervical review to the Northern Ireland Assembly's health committee.
The chair of Stormont's Health Committee said the cervical screening review, especially around the underperformance of screeners, proves that Northern Ireland should introduce a duty of candour.
Sinn Féin's Liz Kimmins said there was a responsibility on all staff, who were working at the time, to have raised concerns over the underperformance of four screeners.
She said that she remains ""shocked"" that their underperformance went unchecked for 14 years and asked the Public Health Agency why alarm bells did not ring a lot sooner.
The health committee heard there are currently three external reports ongoing into what happened at the Southern Health Trust.
The trust's medical director, Dr Steve Austin, said looking back things appear obvious and should have been picked up but that they were not obvious at the time.
The Public Health Agency said the data it received from the trust was wide-ranging but did not reflect individual workers.
Eleven women in the Southern Health Trust, whose cervical smear slides were found to have pre-cancerous changes, are continuing with treatment.
However BBC News NI understands that none have gone on to develop cancer.
The trust's acting chief executive again apologised to all the women affected.
Colm McCafferty said the review was essential for building trust and confidence in the cervical screening programme.
He again acknowledged the failings that had been identified.
","['the Southern Health Trust', 'DUP', ""the Northern Ireland Assembly's"", ""Stormont's"", 'Health Committee', ""Sinn Féin's"", 'the Public Health Agency', 'The Public Health Agency', 'BBC News NI', 'Colm McCafferty']",politics,0.5023,0.32999999999999996,False
84,https://www.bbc.com/news/articles/cnvq75y0mzdo,2025-01-26,We don't want to be Greater Stoke-on-Trent - MP,"An MP says people want to keep their area's distinct identity and maintain local decision-making amid plans to merge smaller councils into larger unitary authorities.
Dame Karen Bradley, who represents the Staffordshire Moorlands, said she was concerned the government wanted to force the area to become part of a ""Greater Stoke-on-Trent"" against the will of residents.
The government said simplifying local government and transferring more powers away from London would help drive economic growth.
Proposals for Staffordshire and Stoke-on-Trent have not yet been shared publicly.
At present, Staffordshire Moorlands District Council is responsible for things like bin collections, planning permission, leisure centres and licensing.
Dame Karen said she was wanted to preserve the current two-council structure, saying the district and county authorities ""work well together"".
Staffordshire County Council is responsible for things like roads, libraries and schools – as well as adult's and children's social care.
The government said it wanted to merge areas where there are currently two types of local authority, meaning one council would cover a larger area and take care of all of the services currently shared out between the separate authorities.
Deputy Prime Minister Angela Rayner said the government would work with local leaders to deliver its plans - but where they were unable to agree a way forward, ministers would get the power to push the plans through.
Dame Karen believes that strategy is not acceptable and wants people to be given more ability to reject the proposals.
Her intervention comes after the leader of Newcastle-under-Lyme Borough Council, Simon Tagg, recently said he was against the idea merging local authorities in Staffordshire.
She also thinks retaining local decision-making is the best option for people in her rural constituency.
""Nothing against the people in Stoke-on-Trent – great people – but they are not living in the Moorlands, they don't know what our problems are, they don't know what our issues are,"" she said.
""I want to make sure it's local people making those decisions.""
She added: ""I just think that people really care about the Moorlands, they do not want to lose the Moorlands – we do not want to be 'Greater Stoke-on-Trent', that is really important to us.""
Follow BBC Stoke & Staffordshire on BBC Sounds, Facebook, X and Instagram.
","['the Staffordshire Moorlands', 'Staffordshire Moorlands District Council', 'Staffordshire County Council', 'BBC Stoke & Staffordshire', 'BBC Sounds', 'Facebook', 'Instagram']",politics,0.9901,0.304,False
85,https://www.bbc.com/news/articles/c4g73n225vyo,2025-01-23,Anger over setbacks at fire-hit derelict factory,"The owner of a derelict former shoe factory which was devastated by fire has spoken of his frustration at the setbacks that have befallen the site.
The former Van-Dal factory in Dibden Road, Norwich, was wrecked by fire on Monday, with 17 crews called to tackle the flames.
Hemingford Group had submitted plans to demolish the building and construct 48 homes, with the company having to shift its focus to containing asbestos and ensuring damaged structures would not collapse.  
""We are still pursuing the redevelopment of the site but we are primarily concerned with securing its safety,"" said Rob Harrison, of Warwickshire-based Hemingford.
Earlier this week, the city council had urged residents to shut their windows and avoid touching debris due to the risk of asbestos, and a nearby school closed over safety fears. 
A partial demolition has been completed, with Norfolk Police conducting an arson investigation. 
Mr Harrison said all asbestos had been contained and would be removed at a later date, with other demolition work continuing on Thursday.
Referring to the company's hopes for the site, he said it had been in productive talks with Norwich City Council, but the planning application from 2023 had stalled due to Natural England's advice to council's about new housing developments.
""It has been infuriating as a small company to shell out huge costs for a project like this while politicians dilly-dally – and then someone burns the building down,"" he said.
""Previously, the demolition work would have been straightforward. 
""But this is going to cost us a great deal more and we have a lot of work to do.""
Follow Norfolk news on BBC Sounds, Facebook, Instagram and X.
","['Van-Dal', 'Hemingford Group', 'Hemingford', 'the city council', 'Norwich City Council', ""Natural England's"", 'BBC Sounds', 'Facebook', 'Instagram']",business,0.0165,0.358,False
86,https://www.bbc.com/news/articles/cednvexl247o,2025-01-27,Over 100 people caught speeding in 20mph zones,"More than 100 fines were given to people who were caught speeding in 20mph (32.2 km/h) zones across the Thames Valley last year.
Many new 20mph zones have been introduced in the region over recent years but existing roadside fixed cameras are not approved by the Home Office to enforce speeds below 30mph (48.3km/h).
Thames Valley Police said it issued 109 Fixed Penalty Notices (FPNs) to drivers caught exceeding 20mph limits after they were clocked on handheld speed devices in 2024.
The region's police and crime commissioner (PCC) Matthew Barber said he would expect FPNs to be issued if officers spot offending but that faster roads are statistically more dangerous.
Oxfordshire County Council approved an £8m plan to cut speed limits to 20mph on up to 85% of its 30mph roads in 2021, and others have been introduced in Berkshire.
""There has always been and there always will be enforcement for 20mph. When [councils] introduce them that does not suddenly mean we have loads of capacity for enforcement of 20mph,"" Mr Barber said. 
""If you have roads policing or a neighbourhood officer who's got a calibrated speed gun and the limit is 20[mph] and someone is doing 30 then that can absolutely be enforced and I would expect it to be.""
He told the Thames Valley's Police and Crime Panel on Friday: ""That doesn't mean that police are suddenly going to pop up with speed guns and start enforcing it. That is not non-enforcement, that is the same level of enforcement [seen on other roads] because we don't have any resource to do the enforcement.""
Mr Barber said the most dangerous roads tend to be the fastest ones.
He said in a 20-year period across the Thames Valley, 1,600 people died on roads where the speed limit was 40mph or more and 600 people died on roads which had a 30mph limit or lower.
""That is not to say we do nothing about the smaller stuff – of course local roads matter. 
""But where can we save people's lives? It's where they're dying and that's generally not in these local communities where they're travelling at 20 and 30 [mph], thankfully,"" Mr Barber added.
You can follow BBC Berkshire on Facebook, X or Instagram. 
","['the Home Office', 'Thames Valley Police', 'PCC', 'Oxfordshire County Council', ""the Thames Valley's"", 'Police and Crime Panel', 'BBC Berkshire', 'Facebook', 'Instagram']",politics,-0.9939,0.31200000000000006,False
87,https://www.bbc.com/news/articles/c1jgn1dn5kwo,2025-01-26,"More than 20,000 join police CCTV evidence database","More than 20,000 people have signed up with police in the West Midlands to provide CCTV and doorbell footage for a force database. 
The new technology allows people to add their cameras to a secure map of CCTV monitors, enabling officers to quickly identify ones that may have captured evidence at a crime scene nearby. 
West Midlands Police set up the scheme in response to the fact thousands of offenders have been brought to justice every year through using such evidence
The force added 20,300 people had signed up to the scheme, set up in September 2024, and they had already helped solve major crimes in Coventry. 
West Midlands Police are one of only two police forces in the UK who have started using such a system. 
Those who sign up to the database receive a text or email when a crime has happened close to their home or business. 
The owner can then send images via a secure link to help officers identify criminals, or trace victims and witnesses - and ultimately enable crimes to be solved faster. 
""As part of the development of this system, we consulted with community groups who, like us, could see the benefits in making neighbourhoods safer and were confident in the system's security layers,"" the force said. 
Sharing recordings with the force does not mean people would have to attend court, it added. 
A version of the system has been used in parts of the US for some time.
Follow BBC Wolverhampton & Black Country on BBC Sounds, Facebook, X and Instagram.
","['CCTV', 'BBC Wolverhampton & Black Country', 'BBC Sounds', 'Facebook', 'Instagram']",tech,0.9118,0.296,False
88,https://www.bbc.com/news/articles/cg7z17exvx8o,2025-01-23,Jail for paedophile who messaged undercover officer,"A paedophile who thought he was messaging teenagers but was actually in contact with undercover police officers has been jailed for four years. 
Joshua Fowler, 27, from Coronation Avenue, Whittlesey, near Peterborough, was in contact with someone he believed was a 14-year-old girl in November and December 2023 using the Kik chat app.
Despite the ""girl"", who was an undercover police officer, stating how old she was, Fowler's messages were sexual in nature, said Cambridgeshire Police.
He was first arrested in early 2024 and his phone was seized and analysed. The indecent images of children it contained included five in category A – the most severe.
There were also four extreme pornographic images of adults with animals.
He was arrested again in October 2024 while on bail - after being caught by another undercover police officer.
Again, Fowler was messaging someone he mistakenly believed to be another 14-year-old girl, trying to get them to perform a sex act.
On 17 January, at Huntingdon Law Courts, he was jailed after pleading guilty to:
Det Sgt Jonathan Lockwood said: ""Mobile phones and social media mean children can be vulnerable to those who prey on their innocence and exploit their trust. 
""In this case, Fowler was stopped and arrested thanks to the work of undercover officers.
""Not content with being arrested for some serious allegations, Fowler then was caught for a second time and had clearly failed to learn his lesson.""
Follow Peterborough news on BBC Sounds, Facebook, Instagram and X.
","['Cambridgeshire Police', 'Huntingdon Law Courts', 'BBC Sounds', 'Facebook', 'Instagram']",entertainment,-0.9855,0.27999999999999997,False
89,https://www.bbc.com/news/articles/cm29klrjxzdo,2025-01-23,Rapist jailed for abusing two girls,"A rapist who abused two girls over a period of nine years has been jailed. 
Scott Dobson-Smith abused two girls, who were aged eight and five when the offending began, in the Warwick area between 2012 and 2021. 
He was found guilty of nine counts of rape and sexual assault against a girl and was sentenced to 24 years in a trial at Warwick Crown Court in February 2024.
At a subsequent trial in the same court, which ended on 16 January, he was further convicted of assault and ill-treatment of the second girl.
Dobson-Smith, 50, formerly of Dryburgh Crescent, Plymouth, was given a further 12 month sentence to run consecutively with the one he is currently serving.
Warwickshire Police said Dobson-Smith was known to the victims and used his position to ""control, manipulate and groom them"".
Det Con Lucy Skidmore said: ""His crimes were despicable, and while I am pleased he is now facing the consequences, it will never undo the damage and trauma he has caused.""
Follow BBC Coventry & Warwickshire on BBC Sounds, Facebook, X and Instagram. 
","['Warwick Crown Court', 'Dobson-Smith', 'Dryburgh Crescent', 'BBC Coventry & Warwickshire', 'BBC Sounds', 'Facebook', 'Instagram']",entertainment,-0.9867,0.258,False
90,https://www.bbc.com/news/articles/c4g385m37n3o,2025-01-24,Fly-tipping fines more than double in new measures,"A council has more than doubled its fines for people caught fly-tipping.
Forest of Dean District Council announced the changes to its fixed penalty notices after the government increased the upper limits councils could fine people for certain offences.
The change will see the maximum charge for illegally dumping waste increase from £400 to £1000, although a discount is applied if the fine is paid within 14 days.
""We have decided to increase the fines for those who break littering and fly-tipping laws to keep our communities and the environment here in the Forest of Dean safe, clean and tidy,"" said councillor Jackie Dale, cabinet member for thriving communities.
Fly-tipping, or illegally dumped waste, is very expensive for councils to clean up and can cause significant environmental damage as it is often left in public spaces or secluded rural locations.
Forest of Dean District Council currently has 58 active fly-tipping reports.
Under the new measures, graffiti and littering will also see maximum fines increase from £150 to £500.
""Our street warden and counter fraud enforcement teams work incredibly hard year-round to identify those responsible for littering and fly-tipping and use the evidence they find to help prosecute and issue fines to deter others from doing this in the future"" said Dale.
""If any resident finds a suspected fly-tip, please get in touch with our street warden team so that it can be investigated quickly and correctly.""
",['District Council'],politics,0.3626,0.348,False
91,https://www.bbc.com/news/articles/c4g72v0ev2zo,2025-01-24,Two men plead guilty to stealing car at knifepoint,"Two men have pleaded guilty to robbery after a car was stolen at knifepoint in Staffordshire.
Dylan Hurd Maskery, 18, from Stoke-on-Trent and Callum Talbot, 23, from South Staffordshire, appeared at Stoke-on-Trent Crown Court earlier this week.
Police said their victim was not seriously injured in the robbery, which happened in Womborne on 11 September.
Both men have been remanded in custody and are due to be sentenced on 21 March.
Staffordshire Police said Hurd Maskery and Talbot launched an attack on a man in Brooke Road after demanding the keys to his Volkswagen Golf R. 
They took the keys from the victim's pocket and officers later found the vehicle abandoned on a car park off Terrace Street, Brierley Hill, near Dudley.
""I can assure local communities that burglary, theft and robbery remains a key focus area for proactive officers who are working around the clock to stop to those responsible and put them before the courts,"" said Det Sgt Marc Proctor.
Follow BBC Stoke & Staffordshire on BBC Sounds, Facebook, X and Instagram.
","['Crown Court', 'Staffordshire Police', 'Talbot', 'Volkswagen Golf R.', 'BBC Stoke & Staffordshire', 'BBC Sounds', 'Facebook', 'Instagram']",entertainment,-0.7666,0.26199999999999996,False
92,https://www.bbc.com/news/articles/cqx9gwgjl15o,2025-01-25,Cyclist 'fighting for life' after van crash,"A cyclist is fighting for his life in hospital after a crash involving a van, police have said.
Lancashire Police said the man, in his 30s, was thrown from his Carrera racing bike after the crash with a Peugeot van that had been travelling north on the A6 in Catterall, near Garstang.
The cyclist was in a ""critical"" condition after suffering a serious head injury in the collision, which happened between The Avenue and Old Lancaster Road just after 20:30 GMT on Friday.
Sgt Pete Fyans said: ""This collision has left a man with some very serious injuries, and I would appeal to anyone who witnessed the incident itself or who has any CCTV, dashcam, Ring doorbell or mobile footage to get in touch."" 
Listen to the best of BBC Radio Lancashire on Sounds and follow BBC Lancashire on Facebook, X and Instagram and watch BBC North West Tonight on BBC iPlayer.
","['Lancashire Police', 'Carrera', 'A6', 'CCTV', 'BBC Radio Lancashire', 'BBC Lancashire', 'Facebook', 'Instagram', 'BBC', 'BBC iPlayer']",entertainment,-0.9217,0.27399999999999997,False
93,https://www.bbc.com/news/articles/c9w5ykdq7qro,2025-01-25,New photo of kilted King released for Burns Night,"A new photograph of King Charles III wearing a tartan kilt at Balmoral Castle has been released to mark Burns Night.
The image was taken in the library of the Royal Family's Scottish holiday home in Aberdeenshire in the autumn.
The King's kilt was made from the King Charles III tartan, based on the Balmoral tartan sett - or pattern - which dates back to about 1850.
The photo was issued as the King prepares to visit the site of the Auschwitz concentration camp for the 80th anniversary of its liberation on 27 January.
The green, blue and red pattern was designed by the Scottish Tartans Authority in 2023 to recognise ""His Majesty's strong support in preserving the culture and traditions of Highland Dress and Scottish Tartans"".
The King is also seen wearing a tie in matching colours and a brown sporran - a pouch that hangs in front of a kilt.
The new photo was taken by Millie Pilkington, who has photographed the Royal Family on multiple occasions, including as the private photographer for the wedding of the Prince and Princess of Wales in 2011. 
She also took the picture of the King and Queen Camilla in the garden of Buckingham Palace that featured on their Christmas card last year.
The photo of the King at Balmoral was released to mark Burns Night. The annual celebration commemorates the life of Robert Burns, Scotland's national poet, who died in 1796. 
The night is traditionally marked with a supper of haggis, accompanied by neeps and tatties - mashed turnips and potatoes.
On Tuesday, the King will travel to Auschwitz, in Poland, to take part in a Holocaust commemoration ceremony.
It is his first trip of the year, and comes almost 12 months after he was diagnosed with cancer. 
He withdrew from public events for a number of weeks while starting treatment but resumed attending events in April, visiting Australia and Samoa late last year.
","[""the Royal Family's"", ""The King's"", 'King', 'the Scottish Tartans Authority', 'Majesty', 'the Royal Family']",entertainment,0.0387,0.29400000000000004,False
